term,symbol
"""FREE coin""",FREE
#MetaHash,MHC
0chain,ZCN
0x coin,ZRX
1inch,1INCH
1INCH coin,1INCH
1ST coin,1ST
42 coin,42
42-coin,42
88mph coin,MPH
Aave,AAVE
AAVE coin,AAVE
Aave DAI,ADAI
Aave OLD,LEND
Aavegotchi,GHST
ABT coin,ABT
Abyss,ABYSS
ABYSS coin,ABYSS
AC coin,AC
ACH coin,ACH
Achain coin,ACT
ACoconut,AC
ACryptoS,ACS
ACS coin,ACS
ACT coin,ACT
ADA coin,ADA
ADAI coin,ADAI
AdEx coin,ADX
ADX coin,ADX
AE coin,AE
Aergo,AERGO
AERGO coin,AERGO
Aeternity coin,AE
AETH coin,AETH
AGA coin,AGA
AGA Token,AGA
AGI coin,AGI
Agrello coin,DLT
AION coin,AION
AirSwap,AST
AITRA,AITRA
AITRA coin,AITRA
Akash Network,AKT
AKRO coin,AKRO
Akropolis coin,AKRO
AKT coin,AKT
ALBT coin,ALBT
Alchemy Pay,ACH
ALEPH coin,ALEPH
Aleph.im,ALEPH
ALGO coin,ALGO
Algorand,ALGO
AllianceBlock,ALBT
ALPHA coin,ALPHA
Alpha Finance,ALPHA
Alpha Quark,AQT
Amoveo,VEO
AMP coin,AMP
AMPL coin,AMPL
Ampleforth,AMPL
ANJ coin,ANJ
ANKR coin,ANKR
ankrETH,AETH
ANT coin,ANT
ANY coin,ANY
Anyswap,ANY
AOA coin,AOA
AOG coin,AOG
API3,API3
API3 coin,API3
APL coin,APL
apM Coin,APM
APM coin,APM
Apollo coin,APL
APPC coin,APPC
AppCoins,APPC
APY coin,APY
APY.Finance,APY
AQT coin,AQT
AR coin,AR
Aragon coin,ANT
Aragon Court,ANJ
Arcblock,ABT
ARCH coin,ARCH
Archer DAO Governance Token,ARCH
Ardor coin,ARDR
ARDR coin,ARDR
ARK coin,ARK
ARMOR coin,ARMOR
ARPA Chain,ARPA
ARPA coin,ARPA
ARRR coin,ARRR
ARTE coin,ARTE
Arweave,AR
ASSY coin,ASSY
ASSY Index,ASSY
AST coin,AST
